ts	zoom_sample	active_profile	zoom_ratio	profile_src	eff_pan	eff_tilt	eff_accel	lead_ms	ap_mode	ap_trk	ap_id	err_x	err_y	cmd_pan	cmd_tilt	base_pan	base_tilt	trk_mode	sel_id	sel_valid	lost	cx	cy	pcx	pcy	vx	vy	motion	score	policy	switch	auto_zoom_box_h	auto_zoom_target_h	auto_zoom_cmd
1785503465.578	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1102/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503465.925	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1111/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503466.270	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1119/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503466.621	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1128/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503466.964	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1137/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503467.374	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1147/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503467.725	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1156/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503468.061	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1164/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503468.409	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1173/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503468.739	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1181/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503469.069	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1189/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503469.528	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1201/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503469.875	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1209/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503470.221	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1218/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503470.551	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1226/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503470.882	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1235/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503471.212	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1243/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503471.544	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1251/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503471.976	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1262/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503472.326	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1271/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503472.672	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1279/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503473.020	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1288/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503473.365	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1297/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503473.696	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1305/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503474.151	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1316/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503474.498	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1323/12	0.383594	0.539815	0.383624	0.53992	0.000168069	0.000584112	0.000607811	0.136835	moving_near_sticky		0	0.48	0
1785503474.846	5	5	0.173	user	31	25	7	138	IDLE	TRACKING	5	0	0	0	0	0	0	TRACKING	5	True	1323/12	0.385417	0.621759	0.385431	0.621867	7.88282e-05	0.000598267	0.000603438	0.144894	moving_near_sticky		0	0.48	0
1785503475.202	5	5	0.173	user	31	25	7	138	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	1324/12	0.384115	0.622685	0.383687	0.623066	-0.00237583	0.00211479	0.00318071	0.149297	moving_near_sticky		0	0.48	0
1785503475.557	4	4	0.116	user	32	26	7	142	IDLE	LOST	5	0	0	0	0	0	0	LOST	5	False	0/12	0.416667	0.577778	0.42066	0.57255	0.0221861	-0.0290432	0.0365476	0.642711	moving_near_sticky	lost_reacquire	0	0.48	0
1785503475.906	4	4	0.116	user	32	26	7	142	ACTIVE	TRACKING	5	-0.163292	0.151138	-6	5	-6	5	TRACKING	5	True	0/12	0.416667	0.576389	0.417763	0.574417	0.00609286	-0.0109571	0.0125371	0.190319	moving_near_sticky		0.0222222	0.48	8
