ts	zoom_sample	active_profile	zoom_ratio	profile_src	eff_pan	eff_tilt	eff_accel	lead_ms	ap_mode	ap_trk	ap_id	err_x	err_y	cmd_pan	cmd_tilt	base_pan	base_tilt	trk_mode	sel_id	sel_valid	lost	cx	cy	pcx	pcy	vx	vy	motion	score	policy	switch	auto_zoom_box_h	auto_zoom_target_h	auto_zoom_cmd
1785504262.719	5	5	0.173	user	31	25	7	138	ACTIVE	TRACKING	6	-0.046264	0.122286	0	4	0	4	TRACKING	6	True	0/12	0.476823	0.561111	0.476868	0.561143	0.000251582	0.000179376	0.000308981	0.154668	moving_near_sticky		0.0333333	0.48	8
1785504263.072	5	5	0.173	user	31	25	7	138	ACTIVE	TRACKING	6	-0.04175	0.119164	0	4	0	3	TRACKING	6	True	0/12	0.476823	0.561111	0.476419	0.561565	-0.00224335	0.00252318	0.00337625	0.170412	moving_near_sticky		0.0333333	0.48	8
1785504263.411	5	5	0.173	user	31	25	7	138	ACTIVE	TRACKING	6	-0.04688	0.121522	0	4	0	4	TRACKING	6	True	0/12	0.476823	0.559722	0.476652	0.559431	-0.000947817	-0.00161755	0.00187479	0.161676	moving_near_sticky		0.0287037	0.48	8
1785504263.748	5	5	0.173	user	31	25	7	138	ACTIVE	TRACKING	6	-0.046498	0.119198	0	4	0	3	TRACKING	6	True	0/12	0.476823	0.559722	0.476751	0.559599	-0.000400453	-0.000683415	0.000792097	0.156141	moving_near_sticky		0.0305556	0.48	8
1785504264.101	5	5	0.173	user	31	25	7	138	ACTIVE	TRACKING	6	-0.043812	0.11934	0	4	0	3	TRACKING	6	True	0/12	0.477865	0.559722	0.478094	0.55967	0.00127684	-0.000288743	0.00130908	0.144071	moving_near_sticky		0.0305556	0.48	8
1785504264.454	5	5	0.173	user	31	25	7	138	ACTIVE	TRACKING	6	-0.046828	0.1194	0	4	0	3	TRACKING	6	True	0/12	0.476823	0.559722	0.476586	0.5597	-0.00131361	-0.000121994	0.00131926	0.151697	moving_near_sticky		0.0305556	0.48	8
1785504264.872	5	5	0.173	user	31	25	7	138	ACTIVE	TRACKING	6	-0.045252	0.119426	0	4	0	3	TRACKING	6	True	0/12	0.477344	0.559722	0.477374	0.559713	0.000166626	-5.15424e-05	0.000174415	0.155009	moving_near_sticky		0.0305556	0.48	8
1785504265.212	5	5	0.173	user	31	25	7	138	ACTIVE	TRACKING	6	-0.043842	0.114916	0	4	0	3	TRACKING	6	True	0/12	0.477865	0.558333	0.478079	0.557458	0.00119041	-0.00486503	0.00500855	0.184789	moving_near_sticky		0.0333333	0.48	8
1785504265.562	5	5	0.173	user	31	25	7	138	ACTIVE	TRACKING	6	-0.046978	0.119778	0	4	0	4	TRACKING	6	True	0/12	0.476823	0.559722	0.476511	0.559889	-0.00173558	0.000929234	0.00196869	0.1632	moving_near_sticky		0.0305556	0.48	8
1785504265.917	5	5	0.173	user	31	25	7	138	ACTIVE	TRACKING	6	-0.046762	0.119586	0	4	0	3	TRACKING	6	True	0/12	0.476823	0.559722	0.476619	0.559793	-0.0011317	0.000392601	0.00119787	0.149133	moving_near_sticky		0.0305556	0.48	8
